Mã ngành;Tên Ngành;Ngành;Nhóm ngành;Lĩnh vực;Người tạo;Ngày tạo;Ngày thay đổi
101010;Energy Equipment & Service;Thiết Bị & Dịch Vụ Năng Lượng;Năng lượng;Năng lượng;;;
101020;Oil, Gas & Consumable Fuel;Dầu khí & Nhiên liệu tiêu hao;Năng lượng;Năng lượng;;;
151010;Chemicals;Hóa chất;Vật liệu;Vật liệu;;;
151020;Construction Materials;Vật liệu Xây dựng;Vật liệu;Vật liệu;;;
151030;Containers & Packaging;Hộp đựng & Bao bì;Vật liệu;Vật liệu;;;
151040;Metals & Mining;Kim loại & Khai khoáng;Vật liệu;Vật liệu;;;
151050;Paper & Forest Products;Giấy & Lâm sản;Vật liệu;Vật liệu;;;
201010;Aerospace & Defense;Hàng không vũ trụ và Quốc phòng;Tư liệu sản xuất;Công nghiệp;;;
201020;Building Products;Sản phẩm xây dựng;Tư liệu sản xuất;Công nghiệp;;;
201030;Construction & Engineering;Kỹ thuật xây dựng;Tư liệu sản xuất;Công nghiệp;;;
201040;Electrical Equipment;Thiết bị điện tử;Tư liệu sản xuất;Công nghiệp;;;
201050;Industrial Conglomerates;Công nghiệp đa ngành;Tư liệu sản xuất;Công nghiệp;;;
201060;Machinery;Máy móc;Tư liệu sản xuất;Công nghiệp;;;
201070;Trading Companies & Distributors;Công ty Thương mại & Nhà phân phối;Tư liệu sản xuất;Công nghiệp;;;
202010;Commercial Services & Supplies;Dịch vụ & Vật tư Thương mại;Dịch vụ Thương mại và Chuyên nghiệp;Công nghiệp;;;
202020;Professional Services;Dịch vụ Chuyên nghiệp;Dịch vụ Thương mại và Chuyên nghiệp;Công nghiệp;;;
203010;Air Freight & Logistics;Vận tải hàng không và Logistics;Vận chuyển;Công nghiệp;;;
203020;Airlines;Hàng không;Vận chuyển;Công nghiệp;;;
203030;Marine;Hàng hải;Vận chuyển;Công nghiệp;;;
203040;Road & Rail;Đường bộ và Đường sắt;Vận chuyển;Công nghiệp;;;
203050;Transportation Infrastructure;Hạ tầng giao thông;Vận chuyển;Công nghiệp;;;
251010;Auto Components;Phụ tùng ô tô;Xe hơi & Phụ tùng;Tiêu dùng không thiết yếu;;;
251020;Automobiles;Ô tô;Xe hơi & Phụ tùng;Tiêu dùng không thiết yếu;;;
252010;Household Durables;Đồ dùng gia đình;Hàng hóa và Trang phục dùng lâu bền;Tiêu dùng không thiết yếu;;;
252020;Leisure Products;Sản phẩm giải trí;Hàng hóa và Trang phục dùng lâu bền;Tiêu dùng không thiết yếu;;;
252030;Textiles, Apparel & Luxury Goods;Dệt may, Trang phục & Hàng hóa xa xỉ;Hàng hóa và Trang phục dùng lâu bền;Tiêu dùng không thiết yếu;;;
253010;Hotels, Restaurants & Leisure;Khách sạn, Nhà hàng & Giải trí;Dịch vụ khách hàng;Tiêu dùng không thiết yếu;;;
253020;Diversified Consumer Services;Dịch vụ tiêu dùng đa dạng;Dịch vụ khách hàng;Tiêu dùng không thiết yếu;;;
255010;Distributors;Nhà phân phối;Bán lẻ;Tiêu dùng không thiết yếu;;;
255020;Internet & Direct Marketing Retail;Internet & Tiếp thị Trực tiếp Bán lẻ;Bán lẻ;Tiêu dùng không thiết yếu;;;
255030;Multiline Retail;Bán lẻ đa tuyến;Bán lẻ;Tiêu dùng không thiết yếu;;;
255040;Specialty Retail;Bản lẻ đặc sản;Bán lẻ;Tiêu dùng không thiết yếu;;;
301010;Food & Staples Retailing;Bản lẻ Thực phẩm và Nhu yếu phẩm;Bản lẻ Thực phẩm và Đồ thiết yếu;Tiêu dùng thiết yếu;;;
302010;Beverages;Đồ uống;Thực phẩm, Đồ uống và Thuốc lá;Tiêu dùng thiết yếu;;;
302020;Food Products;Thực phẩm;Thực phẩm, Đồ uống và Thuốc lá;Tiêu dùng thiết yếu;;;
302030;Tobacco;Thuốc lá;Thực phẩm, Đồ uống và Thuốc lá;Tiêu dùng thiết yếu;;;
303010;Household Products;Đồ gia dụng;Đồ gia dụng và Đồ cá nhân;Tiêu dùng thiết yếu;;;
303020;Personal Products;Đồ cá nhân;Đồ gia dụng và Đồ cá nhân;Tiêu dùng thiết yếu;;;
351010;Health Care Equipment & Supplies;Trang thiết bị và Dịch vụ Y tế;Trang thiết bị và Dịch vụ Y tế;Y tế;;;
351020;Health Care Providers & Services;Nhà cung cấp & Dịch vụ Y tế;Trang thiết bị và Dịch vụ Y tế;Y tế;;;
351030;Health Care Technology;Công nghệ Y tế;Trang thiết bị và Dịch vụ Y tế;Y tế;;;
352010;Biotechnology;Công nghệ sinh học;Dược phẩm, Công nghệ sinh học & Khoa học đời sống;Y tế;;;
352020;Pharmaceuticals;Dược phẩm;Dược phẩm, Công nghệ sinh học & Khoa học đời sống;Y tế;;;
352030;Life Sciences Tools & Services;Công cụ & Dịch vụ Khoa học Đời sống;Dược phẩm, Công nghệ sinh học & Khoa học đời sống;Y tế;;;
401010;Banks;Ngân hàng;Ngân hàng;Tài chính;;;
401020;Thrifts & Mortgage Finance;Tiết kiệm và Thế chấp;Ngân hàng;Tài chính;;;
402010;Diversified Financial Services;Tài chính đa dạng;Tài chính đa dạng;Tài chính;;;
402020;Consumer Finance;Tài chính tiêu dùng;Tài chính đa dạng;Tài chính;;;
402030;Capital Markets;Thị trường vốn;Tài chính đa dạng;Tài chính;;;
402040;Mortgage Real Estate Investment Trusts (Reits);Tín thác đầu tư Bất động sản thế chấp;Tài chính đa dạng;Tài chính;;;
403010;Insurance;Bảo hiểm;Bảo hiểm;Tài chính;;;
451020;It Services;Dịch vụ IT;Phần mềm và Dịch vụ;Công nghệ thông tin;;;
451030;Software;Phần mềm;Phần mềm và Dịch vụ;Công nghệ thông tin;;;
452010;Communications Equipment;Thiết bị truyền thông;Phần cứng và Thiết bị Công nghệ;Công nghệ thông tin;;;
452020;Technology Hardware, Storage & Peripherals;Công nghệ Phần cứng, Lưu trữ & Thiết bị ngoại vi;Phần cứng và Thiết bị Công nghệ;Công nghệ thông tin;;;
452030;Electronic Equipment, Instruments & Components;Thiết Bị, Dụng Cụ & Linh Kiện Điện Tử;Phần cứng và Thiết bị Công nghệ;Công nghệ thông tin;;;
453010;Semiconductors & Semiconductor Equipment;Chất bán dẫn & Thiết bị bán dẫn;Chất bán dẫn & Thiết bị bán dẫn;Công nghệ thông tin;;;
501010;Diversified Telecommunication Services;Dịch vụ viễn thông đa dạng;Dịch vụ viễn thông;Truyền thông;;;
501020;Wireless Telecommunication Services;Dịch vụ viến thông không dây;Dịch vụ viễn thông;Truyền thông;;;
502010;Media;Truyền thông;Truyền thông & Giải trí;Truyền thông;;;
502020;Entertainment;Giải trí;Truyền thông & Giải trí;Truyền thông;;;
502030;Interactive Media & Services;Truyền thông & Dịch vụ Tương tác;Truyền thông & Giải trí;Truyền thông;;;
551010;Electric Utilities;Tiện tích điện tử;Tiện ích;Tiện ích;;;
551020;Gas Utilities;Tiện ích gas;Tiện ích;Tiện ích;;;
551030;Multi-Utilities;Đa tiện ích;Tiện ích;Tiện ích;;;
551040;Water Utilities;Tiện ích nước;Tiện ích;Tiện ích;;;
551050;Independent Power And Renewable Electricity Producers;Sản xuất Điện độc lập và Điện tái tạo;Tiện ích;Tiện ích;;;
601010;Equity Real Estate Investment Trusts (Reits);Tín thác đầu tư Bất động sản bằng vốn chủ;Bất động sản;Bất động sản;;;
601020;Real Estate Management & Development;Quản lý & Phát triển Bất động sản;Bất động sản;Bất động sản;;;